Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 FEBOR PARK HOTEL LEVENT, FE_P2_R8,Unknown Author,N/A,Positive,"Nothing was nice about this hotel, I just would NOT recommend it! Save yourself your money and book elsewhere, even if it means to pay a bit more!"
 FEBOR PARK HOTEL LEVENT, FE_P2_R8,Unknown Author,N/A,Negative,Nothing
 FEBOR PARK HOTEL LEVENT, FE_P2_R9,Unknown Author,N/A,Positive,The only good thing about this place is the location and this even was not super but good.
 FEBOR PARK HOTEL LEVENT, FE_P2_R9,Unknown Author,N/A,Negative,"Everything related to the rooms itself or the hotel in general or even the breakfast was below average although you are paying something here, it is not for free. The worst was noise of the cleaning staff in the morning, the room doors pass every sound possible. they have a wors rooms that are not showing in the pictures here but may show on google"
 FEBOR PARK HOTEL LEVENT, FE_P2_R10,Unknown Author,N/A,Positive,The location is perfect if you travel with a car. You don't need to drive in small streets and there is a private parking inside. Just keep in mind you have to give them your car keys for them to move the car if needed. The location is tourist safe and close to metro and bus stops. The saff was very helpful even giving advice on where to go in the city and how to get there. The room was clean and comfortable with nice view over the city. There is a breakfast included which was basic but fine.
 FEBOR PARK HOTEL LEVENT, FE_P2_R10,Unknown Author,N/A,Negative,My room was close to the elevator so it was a bit noisy but not really a big deal if you have earplugs
 FEBOR PARK HOTEL LEVENT, FE_P2_R11,Unknown Author,N/A,Positive,"The room was spacious, clean, and comfortable. The price also included breakfast. There is a metro station nearby, which made commuting around the city quite easy."
 FEBOR PARK HOTEL LEVENT, FE_P2_R11,Unknown Author,N/A,Negative,None.
 FEBOR PARK HOTEL LEVENT, FE_P2_R12,Unknown Author,N/A,Positive,the staff is friendly. breakfast is delicious. there is a yard where you can sit in the evening. an iron was provided upon request. great location.I think I will come back.
 FEBOR PARK HOTEL LEVENT, FE_P2_R12,Unknown Author,N/A,Negative,the only thing is an old repair
 FEBOR PARK HOTEL LEVENT, FE_P2_R13,Unknown Author,N/A,Positive,que l'amplacement
 FEBOR PARK HOTEL LEVENT, FE_P2_R13,Unknown Author,N/A,Negative,equipment
 FEBOR PARK HOTEL LEVENT, FE_P2_R14,Unknown Author,N/A,Positive,the bed
 FEBOR PARK HOTEL LEVENT, FE_P2_R14,Unknown Author,N/A,Negative,Evreything was old the toilet it was not stuck to the floor it was very uncomfortable
 FEBOR PARK HOTEL LEVENT, FE_P2_R15,Unknown Author,N/A,Positive,Good breakfast. Good WiFi
 FEBOR PARK HOTEL LEVENT, FE_P2_R15,Unknown Author,N/A,Negative,Uncomfortable bed with the smell of cigarettes. Dirty everywhere. Not paying attention to clients hotel service.
 FEBOR PARK HOTEL LEVENT, FE_P2_R16,Unknown Author,N/A,Positive,"The location is great, close to the Gayrettepe metro station, from where you can go anywhere in Istanbul (including the Istanbul Airport). My room was clean, quiet and comfortable."
 FEBOR PARK HOTEL LEVENT, FE_P2_R16,Unknown Author,N/A,Negative,"Nothing to mention, everything was good."
 FEBOR PARK HOTEL LEVENT, FE_P2_R17,Unknown Author,N/A,Positive,"The hotel itself placed quite near to metro and bus station, and the breakfast is satisfying.
Those are the only pros of this hotel"
 FEBOR PARK HOTEL LEVENT, FE_P2_R17,Unknown Author,N/A,Negative,"The rooms are moldy, the furniture are carrying signs of thousand years of usage, ""the boss"" at reception is rude and speaking more like burglar rather than decent hotel worker. And THE SMELL, the awful smell are everywhere.
And be careful they're charging you at reception so at any case don't pay in the Booking"
 FEBOR PARK HOTEL LEVENT, FE_P2_R18,Unknown Author,N/A,Positive,The location was good for me. Because exam center was very near
 FEBOR PARK HOTEL LEVENT, FE_P2_R18,Unknown Author,N/A,Negative,"It was the worst hotel I’ve ever stayed. Room, bathroom, furniture was very bad. The room was not cleaned up. The towels were used! Breakfast was awful."
 FEBOR PARK HOTEL LEVENT, FE_P2_R19,Unknown Author,N/A,Positive,"Amazing staff members , very polite and helpful 👍"
 FEBOR PARK HOTEL LEVENT, FE_P2_R19,Unknown Author,N/A,Negative,Good breakfast.
 FEBOR PARK HOTEL LEVENT, FE_P2_R20,Unknown Author,N/A,Positive,Location was great
 FEBOR PARK HOTEL LEVENT, FE_P2_R20,Unknown Author,N/A,Negative,"Rooms were falling apart 
Staff were not friendly"
 FEBOR PARK HOTEL LEVENT, FE_P2_R21,Unknown Author,N/A,Positive,"The staff was friendly, the location was good and the last room was clean"
