Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
Lamartine Hotel,LAM_P2_R21,Unknown Author,N/A,Positive,Staff is very cooperative and helpfull. Breakfast is more than enough
Lamartine Hotel,LAM_P2_R22,Unknown Author,N/A,Positive,"- Very clean and spacious room (we were in a Superior King Room). Newly renovated
- Very polite and helpful staffs in all areas
- Excellent central location close to a lot of attractions and public transportation"
Lamartine Hotel,LAM_P2_R22,Unknown Author,N/A,Negative,"- It is a bit noisy at night from the street as the location is in the heart of city, but ok for us
- Breakfast could be better but still very good"
Lamartine Hotel,LAM_P2_R23,Unknown Author,N/A,Positive,Great location and staff
Lamartine Hotel,LAM_P2_R23,Unknown Author,N/A,Negative,The heating was central and the room was very hot. When we told the reception he told us to turn it off and open the window 😄 but it was noisy so we had to shut it. Very cold outside and hot in the room.
Lamartine Hotel,LAM_P2_R24,Unknown Author,N/A,Positive,Location is perfect
Lamartine Hotel,LAM_P2_R24,Unknown Author,N/A,Negative,Everithing
Lamartine Hotel,LAM_P2_R25,Unknown Author,N/A,Positive,The design of the rooms
Lamartine Hotel,LAM_P3_R1,Unknown Author,N/A,Positive,New clean modern
Lamartine Hotel,LAM_P3_R1,Unknown Author,N/A,Negative,Coffee at breakfast
Lamartine Hotel,LAM_P3_R2,Unknown Author,N/A,Positive,"The Hotel is very clean, well organized and have the best staffs ❤️"
Lamartine Hotel,LAM_P3_R2,Unknown Author,N/A,Negative,Cant think of anything
Lamartine Hotel,LAM_P3_R3,Unknown Author,N/A,Positive,Staff were very friendly and helpful even with the language barrier
Lamartine Hotel,LAM_P3_R3,Unknown Author,N/A,Negative,Very central and the staff helped me out immensely
Lamartine Hotel,LAM_P3_R4,Unknown Author,N/A,Positive,"This has been an exceptional stay at the Lamartine Hotel. I enjoyed my stay. Rooms are very clean, staff is exceptionally polite and helpful. Location is superb right in the heart of Taxim square from which you can reach almost everywhere in Istanbul. Close to many shops and restaurants."
Lamartine Hotel,LAM_P3_R4,Unknown Author,N/A,Negative,Breakfast could be slightly improved
Lamartine Hotel,LAM_P3_R5,Unknown Author,N/A,Positive,"The breakfast was okay, but a little basic the location was superb"
Lamartine Hotel,LAM_P3_R5,Unknown Author,N/A,Negative,Everything went well we were happy
Lamartine Hotel,LAM_P3_R6,Unknown Author,N/A,Positive,"Location is good, nearby Taksim Square.. Staff were friendly and helpful."
Lamartine Hotel,LAM_P3_R6,Unknown Author,N/A,Negative,"I was given a room in the second floor at first which wasn’t at all convenient because of the noise and the cigarette smell coming from outside. I asked the receptionist to change the room and he gave me one in the eight floor, which was quite better.. So if you are staying in this hotel, avoid rooms in first or second floor.
Breakfast wasn’t as expected due to the poor selections..
The hotel doesn’t have a gym or a swimming pool."
 The Marmara Pera, TH_P1_R1,Unknown Author,N/A,Positive,"The beds were comfortable. The location is very good. 
Some of the staff were very friendly.
Generally quite good but expected more."
 The Marmara Pera, TH_P1_R1,Unknown Author,N/A,Negative,"Some staff seemed less than welcoming and sometimes there was great difficulty communicating in English.
They have an automated comunication channel on WhatsApp, but no one is manning it so it is useless... 
AC wasn´t working properly and remained so during our stay despite our complaints."
 The Marmara Pera, TH_P1_R2,Unknown Author,N/A,Positive,Location and price
